HRV	Stress
63.124	0
59.872	0
65.318	0
58.291	0
61.794	0
61.103	0
58.729	0
59.682	0
62.411	0
61.829	0
75.215	1
75.456	1
75.198	1
65.524	1
60.315	0
58.478	0
63.903	0
75.346	1
75.611	1
75.825	1
62.997	0
75.182	1
59.486	0
60.876	0
62.772	0
75.347	1
75.249	1
75.672	1
61.915	0
75.453	1
75.584	1
59.263	0
59.716	0
61.722	0
59.893	0
61.463	0
60.163	0
65.448	1
75.792	1
75.997	1
62.460	0
61.719	0
75.682	1
60.995	0
75.723	1
65.682	1
75.911	1
75.885	1
75.388	1
60.183	0
75.825	1
59.763	0
61.351	0
62.672	0
60.995	0
60.465	0
75.798	1
60.436	0
61.555	0
75.137	1
61.419	0
75.522	1
61.251	0
75.661	1
60.387	0
60.991	0
75.512	1
75.151	1
61.518	0
75.695	1
60.298	0
61.227	0
75.963	1
60.831	0
60.939	0
75.522	1
75.846	1
75.968	1
61.451	0
61.523	0
61.327	0
75.831	1
61.894	0
61.187	0
75.364	1
75.428	1
60.998	0
75.232	1
75.786	1
75.129	1
75.768	1
60.897	0
61.387	0
75.963	1
75.222	1
61.151	0
75.271	1
75.422	1
60.981	0
75.592	1
75.889	1
61.432	0
60.963	0
75.183	1
61.251	0
75.872	1
75.197	1
60.987	0
60.193	0
75.862	1
61.259	0
75.943	1
75.386	1
61.174	0
60.894	0
75.678	1
75.616	1
61.161	0
75.349	1
61.883	0
75.195	1
60.791	0
60.187	0
61.335	0
75.777	1
61.868	0
61.394	0
75.413	1
60.873	0
61.197	0
61.159	0
60.436	0
75.163	1
60.971	0
75.489	1
61.927	0
60.785	0
75.579	1
60.776	0
61.176	0
60.171	0
75.127	1
75.972	1
61.243	0
61.269	0
75.766	1
60.712	0
75.715	1
75.853	1
61.126	0
75.753	1
61.488	0
60.113	0
75.784	1
75.217	1
61.116	0
60.133	0
75.783	1
75.228	1
61.141	0
60.149	0
75.722	1
60.112	0
60.158	0
75.735	1
75.342	1
61.214	0
75.724	1
75.829	1
75.163	1
60.773	0
60.125	0
61.235	0
61.325	0
75.738	1
61.413	0
61.221	0
75.131	1
61.123	0
75.272	1
60.966	0
61.229	0
60.174	0

